ensg.temp	genes.temp	ensg.id	genes.dot
ENSG00000015171.14	ZMYND11	ENSG00000015171	ZMYND11
ENSG00000151240.11	DIP2C	ENSG00000151240	DIP2C
ENSG00000107937.14	GTPBP4	ENSG00000107937	GTPBP4
ENSG00000047056.10	WDR37	ENSG00000047056	WDR37
ENSG00000107959.11	PITRM1	ENSG00000107959	PITRM1
ENSG00000165568.13	AKR1E2	ENSG00000165568	AKR1E2
ENSG00000187134.8	AKR1C1	ENSG00000187134	AKR1C1
ENSG00000151632.12	AKR1C2	ENSG00000151632	AKR1C2
ENSG00000196139.7	AKR1C3	ENSG00000196139	AKR1C3
ENSG00000196372.8	ASB13	ENSG00000196372	ASB13
ENSG00000108021.15	FAM208B	ENSG00000108021	FAM208B
ENSG00000057608.12	GDI2	ENSG00000057608	GDI2
ENSG00000134452.15	FBXO18	ENSG00000134452	FBXO18
ENSG00000134460.11	IL2RA	ENSG00000134460	IL2RA
ENSG00000170525.14	PFKFB3	ENSG00000170525	PFKFB3
ENSG00000123243.10	ITIH5	ENSG00000123243	ITIH5
ENSG00000151655.13	ITIH2	ENSG00000151655	ITIH2
ENSG00000151657.7	KIN	ENSG00000151657	KIN
ENSG00000165629.15	ATP5C1	ENSG00000165629	ATP5C1
ENSG00000134463.10	ECHDC3	ENSG00000134463	ECHDC3
ENSG00000065665.16	SEC61A2	ENSG00000065665	SEC61A2
ENSG00000151465.9	CDC123	ENSG00000151465	CDC123
ENSG00000183049.8	CAMK1D	ENSG00000183049	CAMK1D
ENSG00000123240.12	OPTN	ENSG00000123240	OPTN
ENSG00000065328.12	MCM10	ENSG00000065328	MCM10
ENSG00000107537.9	PHYH	ENSG00000107537	PHYH
ENSG00000086475.10	SEPHS1	ENSG00000086475	SEPHS1
ENSG00000239665.4	RP11-295P9.3	ENSG00000239665	RP11.295P9.3
ENSG00000152455.11	SUV39H2	ENSG00000152455	SUV39H2
ENSG00000176236.4	C10orf111	ENSG00000176236	C10orf111
ENSG00000152465.13	NMT2	ENSG00000152465	NMT2
ENSG00000148481.9	FAM188A	ENSG00000148481	FAM188A
ENSG00000165983.10	PTER	ENSG00000165983	PTER
ENSG00000165985.8	C1QL3	ENSG00000165985	C1QL3
ENSG00000148484.13	RSU1	ENSG00000148484	RSU1
ENSG00000107614.17	TRDMT1	ENSG00000107614	TRDMT1
ENSG00000148488.11	ST8SIA6	ENSG00000148488	ST8SIA6
ENSG00000136738.10	STAM	ENSG00000136738	STAM
ENSG00000148483.7	TMEM236	ENSG00000148483	TMEM236
ENSG00000183748.4	MRC1L1	ENSG00000183748	MRC1L1
ENSG00000184040.7	TMEM236	ENSG00000184040	TMEM236
ENSG00000120586.4	MRC1	ENSG00000120586	MRC1
ENSG00000148482.7	SLC39A12	ENSG00000148482	SLC39A12
ENSG00000165995.14	CACNB2	ENSG00000165995	CACNB2
ENSG00000241058.1	NSUN6	ENSG00000241058	NSUN6
ENSG00000204740.5	C10orf112	ENSG00000204740	C10orf112
ENSG00000077420.11	APBB1IP	ENSG00000077420	APBB1IP
ENSG00000136754.12	ABI1	ENSG00000136754	ABI1
ENSG00000107890.12	ANKRD26	ENSG00000107890	ANKRD26
ENSG00000120539.10	MASTL	ENSG00000120539	MASTL
ENSG00000107897.14	ACBD5	ENSG00000107897	ACBD5
ENSG00000182077.6	PTCHD3	ENSG00000182077	PTCHD3
ENSG00000099246.12	RAB18	ENSG00000099246	RAB18
ENSG00000150051.9	MKX	ENSG00000150051	MKX
ENSG00000150054.14	MPP7	ENSG00000150054	MPP7
ENSG00000197321.10	SVIL	ENSG00000197321	SVIL
ENSG00000107951.8	MTPAP	ENSG00000107951	MTPAP
ENSG00000148516.17	ZEB1	ENSG00000148516	ZEB1
ENSG00000216937.7	CCDC7	ENSG00000216937	CCDC7
ENSG00000150076.18	C10orf68	ENSG00000150076	C10orf68
ENSG00000150093.14	ITGB1	ENSG00000150093	ITGB1
ENSG00000148498.11	PARD3	ENSG00000148498	PARD3
ENSG00000177283.4	FZD8	ENSG00000177283	FZD8
ENSG00000198105.7	ZNF248	ENSG00000198105	ZNF248
ENSG00000175395.11	ZNF25	ENSG00000175395	ZNF25
ENSG00000189180.11	ZNF33A	ENSG00000189180	ZNF33A
ENSG00000225119.3	LINC00999	ENSG00000225119	LINC00999
ENSG00000196693.10	ZNF33B	ENSG00000196693	ZNF33B
ENSG00000165731.13	RET	ENSG00000165731	RET
ENSG00000169826.6	CSGALNACT2	ENSG00000169826	CSGALNACT2
ENSG00000198915.7	RASGEF1A	ENSG00000198915	RASGEF1A
ENSG00000196793.9	ZNF239	ENSG00000196793	ZNF239
ENSG00000107562.12	CXCL12	ENSG00000107562	CXCL12
ENSG00000165511.4	C10orf25	ENSG00000165511	C10orf25
ENSG00000165512.4	ZNF22	ENSG00000165512	ZNF22
ENSG00000012779.6	ALOX5	ENSG00000012779	ALOX5
ENSG00000165406.11	MARCH8	ENSG00000165406	MARCH8
ENSG00000172671.15	ZFAND4	ENSG00000172671	ZFAND4
ENSG00000172661.13	FAM21C	ENSG00000172661	FAM21C
ENSG00000188234.9	AGAP4	ENSG00000188234	AGAP4
ENSG00000204176.9	SYT15	ENSG00000204176	SYT15
ENSG00000204174.2	NPY4R	ENSG00000204174	NPY4R
ENSG00000198250.8	ANTXRL	ENSG00000198250	ANTXRL
ENSG00000198035.9	AGAP9	ENSG00000198035	AGAP9
ENSG00000165388.8	ZNF488	ENSG00000165388	ZNF488
ENSG00000107643.11	MAPK8	ENSG00000107643	MAPK8
ENSG00000128815.13	WDFY4	ENSG00000128815	WDFY4
ENSG00000225830.6	ERCC6	ENSG00000225830	ERCC6
ENSG00000174196.5	FAM21D	ENSG00000174196	FAM21D
ENSG00000174194.11	AGAP8	ENSG00000174194	AGAP8
