ensg.temp	genes.temp
ENSG00000015171.14	ZMYND11
ENSG00000151240.11	DIP2C
ENSG00000107937.14	GTPBP4
ENSG00000047056.10	WDR37
ENSG00000107959.11	PITRM1
ENSG00000165568.13	AKR1E2
ENSG00000187134.8	AKR1C1
ENSG00000151632.12	AKR1C2
ENSG00000196139.7	AKR1C3
ENSG00000196372.8	ASB13
ENSG00000108021.15	FAM208B
ENSG00000057608.12	GDI2
ENSG00000134452.15	FBXO18
ENSG00000134460.11	IL2RA
ENSG00000170525.14	PFKFB3
ENSG00000123243.10	ITIH5
ENSG00000151655.13	ITIH2
ENSG00000151657.7	KIN
ENSG00000165629.15	ATP5C1
ENSG00000134463.10	ECHDC3
ENSG00000065665.16	SEC61A2
ENSG00000151465.9	CDC123
ENSG00000183049.8	CAMK1D
ENSG00000123240.12	OPTN
ENSG00000065328.12	MCM10
ENSG00000107537.9	PHYH
ENSG00000086475.10	SEPHS1
ENSG00000239665.4	RP11-295P9.3
ENSG00000152455.11	SUV39H2
ENSG00000176236.4	C10orf111
ENSG00000152465.13	NMT2
ENSG00000148481.9	FAM188A
ENSG00000165983.10	PTER
ENSG00000165985.8	C1QL3
ENSG00000148484.13	RSU1
ENSG00000107614.17	TRDMT1
ENSG00000148488.11	ST8SIA6
ENSG00000136738.10	STAM
ENSG00000148483.7	TMEM236
ENSG00000183748.4	MRC1L1
ENSG00000184040.7	TMEM236
ENSG00000120586.4	MRC1
ENSG00000148482.7	SLC39A12
ENSG00000165995.14	CACNB2
ENSG00000241058.1	NSUN6
ENSG00000204740.5	C10orf112
ENSG00000077420.11	APBB1IP
ENSG00000136754.12	ABI1
ENSG00000107890.12	ANKRD26
ENSG00000120539.10	MASTL
ENSG00000107897.14	ACBD5
ENSG00000182077.6	PTCHD3
ENSG00000099246.12	RAB18
ENSG00000150051.9	MKX
ENSG00000150054.14	MPP7
ENSG00000197321.10	SVIL
ENSG00000107951.8	MTPAP
ENSG00000148516.17	ZEB1
ENSG00000216937.7	CCDC7
ENSG00000150076.18	C10orf68
ENSG00000150093.14	ITGB1
ENSG00000148498.11	PARD3
ENSG00000177283.4	FZD8
ENSG00000198105.7	ZNF248
ENSG00000175395.11	ZNF25
ENSG00000189180.11	ZNF33A
ENSG00000225119.3	LINC00999
ENSG00000196693.10	ZNF33B
ENSG00000165731.13	RET
ENSG00000169826.6	CSGALNACT2
ENSG00000198915.7	RASGEF1A
ENSG00000196793.9	ZNF239
ENSG00000107562.12	CXCL12
ENSG00000165511.4	C10orf25
ENSG00000165512.4	ZNF22
ENSG00000012779.6	ALOX5
ENSG00000165406.11	MARCH8
ENSG00000172671.15	ZFAND4
ENSG00000172661.13	FAM21C
ENSG00000188234.9	AGAP4
ENSG00000204176.9	SYT15
ENSG00000204174.2	NPY4R
ENSG00000198250.8	ANTXRL
ENSG00000198035.9	AGAP9
ENSG00000165388.8	ZNF488
ENSG00000107643.11	MAPK8
ENSG00000128815.13	WDFY4
ENSG00000225830.6	ERCC6
ENSG00000174196.5	FAM21D
ENSG00000174194.11	AGAP8
ENSG00000204169.6	AGAP7
ENSG00000138294.9	MSMB
ENSG00000138293.15	NCOA4
ENSG00000204149.5	AGAP6
ENSG00000099290.11	FAM21A
ENSG00000204147.5	ASAH2B
ENSG00000177613.7	CSTF2T
ENSG00000122952.12	ZWINT
ENSG00000122873.7	CISD1
ENSG00000108064.6	TFAM
ENSG00000122870.7	BICC1
ENSG00000165449.7	SLC16A9
ENSG00000151150.16	ANK3
ENSG00000072422.12	RHOBTB1
ENSG00000183346.6	C10orf107
ENSG00000182010.6	RTKN2
ENSG00000138311.11	ZNF365
ENSG00000181915.3	ADO
ENSG00000148572.10	NRBF2
ENSG00000171988.13	JMJD1C
ENSG00000165476.8	REEP3
ENSG00000096717.7	SIRT1
ENSG00000179774.7	ATOH7
ENSG00000108187.11	PBLD
ENSG00000138346.10	DNA2
ENSG00000122912.10	SLC25A16
ENSG00000138336.8	TET1
ENSG00000165730.10	STOX1
ENSG00000198954.4	KIAA1279
ENSG00000099282.5	TSPAN15
ENSG00000156521.9	TYSND1
ENSG00000079332.10	SAR1A
ENSG00000180817.7	PPA1
ENSG00000172731.9	LRRC20
ENSG00000197604.4	AC022532.1
ENSG00000156574.5	NODAL
ENSG00000107719.8	PALD1
ENSG00000180644.6	PRF1
ENSG00000166220.8	TBATA
ENSG00000166224.12	SGPL1
ENSG00000166228.4	PCBD1
ENSG00000198246.7	SLC29A3
ENSG00000107738.15	C10orf54
ENSG00000122863.5	CHST3
ENSG00000107742.8	SPOCK2
ENSG00000138303.13	ASCC1
ENSG00000168209.4	DDIT4
ENSG00000148719.10	DNAJB12
ENSG00000107745.12	MICU1
ENSG00000166321.9	NUDT13
ENSG00000138286.10	FAM149B1
ENSG00000213551.4	DNAJC9
ENSG00000156042.13	TTC18
ENSG00000172650.8	AGAP5
ENSG00000176986.10	SEC24C
ENSG00000196968.6	FUT11
ENSG00000035403.12	VCL
ENSG00000165637.9	VDAC2
ENSG00000148655.10	C10orf11
ENSG00000156113.16	KCNMA1
ENSG00000151208.12	DLG5
ENSG00000148606.8	POLR3A
ENSG00000138326.14	RPS24
ENSG00000108179.9	PPIF
ENSG00000165424.6	ZCCHC24
ENSG00000122852.10	SFTPA1
ENSG00000188199.6	NUTM2B
ENSG00000228570.3	NUTM2E
ENSG00000133661.11	SFTPD
ENSG00000189129.9	PLAC9
ENSG00000122378.9	FAM213A
ENSG00000178217.9	SH2D4B
ENSG00000165678.15	GHITM
ENSG00000182771.13	GRID1
ENSG00000122375.7	OPN4
ENSG00000122367.15	LDB3
ENSG00000107779.7	BMPR1A
ENSG00000148671.9	ADIRF
ENSG00000148672.7	GLUD1
ENSG00000184923.8	NUTM2A
ENSG00000214562.9	NUTM2D
ENSG00000107789.11	MINPP1
ENSG00000198682.8	PAPSS2
ENSG00000138138.9	ATAD1
ENSG00000227268.3	KLLN
ENSG00000138134.7	STAMBPL1
ENSG00000026103.15	FAS
ENSG00000138135.5	CH25H
ENSG00000119917.9	IFIT3
ENSG00000107798.13	LIPA
ENSG00000152778.7	IFIT5
ENSG00000138182.10	KIF20B
ENSG00000148680.11	HTR7
ENSG00000107854.5	TNKS2
ENSG00000174721.9	FGFBP3
ENSG00000095564.9	BTAF1
ENSG00000187553.5	CYP26C1
ENSG00000138119.12	MYOF
ENSG00000186188.6	FFAR4
ENSG00000138207.8	RBP4
ENSG00000148690.10	FRA10AC1
ENSG00000176273.10	SLC35G1
ENSG00000138193.10	PLCE1
ENSG00000173145.7	NOC3L
ENSG00000108239.8	TBC1D12
ENSG00000119969.10	HELLS
ENSG00000138109.9	CYP2C9
ENSG00000173124.10	C10orf129
ENSG00000107438.4	PDLIM1
ENSG00000059573.4	ALDH18A1
ENSG00000119977.16	TCTN3
ENSG00000188649.7	CC2D2B
ENSG00000095585.12	BLNK
ENSG00000095587.8	TLL2
ENSG00000196233.7	LCOR
ENSG00000187122.12	SLIT1
ENSG00000213390.6	ARHGAP19
ENSG00000181274.5	FRAT2
ENSG00000052749.9	RRP12
ENSG00000171314.8	PGAM1
ENSG00000171307.14	ZDHHC16
ENSG00000155229.16	MMS19
ENSG00000171160.13	MORN4
ENSG00000155252.12	PI4K2A
ENSG00000119986.6	AVPI1
ENSG00000155265.6	GOLGA7B
ENSG00000119943.6	PYROXD2
ENSG00000107521.14	HPS1
ENSG00000014919.8	COX15
ENSG00000107554.11	DNMBP
ENSG00000095485.12	CWF19L1
ENSG00000196072.7	BLOC1S2
ENSG00000099194.5	SCD
ENSG00000075826.12	SEC31B
ENSG00000166135.9	HIF1AN
ENSG00000119906.7	FAM178A
ENSG00000055950.12	MRPL43
ENSG00000107816.13	LZTS2
ENSG00000166169.12	POLL
ENSG00000107831.8	FGF8
ENSG00000198408.9	MGEA5
ENSG00000119915.4	ELOVL3
ENSG00000077150.13	NFKB2
ENSG00000138111.10	TMEM180
ENSG00000138175.8	ARL3
ENSG00000156398.8	SFXN2
ENSG00000166275.11	C10orf32
ENSG00000214435.3	AS3MT
ENSG00000148842.13	CNNM2
ENSG00000076685.14	NT5C2
ENSG00000148835.9	TAF5
ENSG00000148843.9	PDCD11
ENSG00000138172.6	CALHM2
ENSG00000107960.6	OBFC1
ENSG00000197748.8	WDR96
ENSG00000119950.16	MXI1
ENSG00000203867.7	RBM20
ENSG00000150593.11	PDCD4
ENSG00000214413.3	BBIP1
ENSG00000023041.7	ZDHHC6
ENSG00000165806.15	CASP7
ENSG00000095627.5	TDRD1
ENSG00000165816.8	VWA2
ENSG00000169129.10	AFAP1L2
ENSG00000151553.10	FAM160B1
ENSG00000165832.4	TRUB1
ENSG00000187021.10	PNLIPRP1
ENSG00000165868.8	HSPA12A
ENSG00000165646.7	SLC18A2
ENSG00000165650.7	PDZD8
ENSG00000151893.10	CACUL1
ENSG00000188613.5	NANOS1
ENSG00000107581.8	EIF3A
ENSG00000183605.12	SFXN4
ENSG00000198873.10	GRK5
ENSG00000151923.13	TIAL1
ENSG00000197771.8	MCMBP
ENSG00000203805.6	PPAPDC1A
ENSG00000120008.11	WDR11
ENSG00000107669.13	ATE1
ENSG00000107672.10	NSMCE4A
ENSG00000138162.13	TACC2
ENSG00000138152.7	BTBD16
ENSG00000107679.10	PLEKHA1
ENSG00000095574.7	IKZF5
ENSG00000154473.13	BUB3
ENSG00000121898.8	CPXM2
ENSG00000182022.13	CHST15
ENSG00000107902.9	LHPP
ENSG00000203791.9	METTL10
ENSG00000188690.8	UROS
ENSG00000154493.13	C10orf90
ENSG00000150760.8	DOCK1
ENSG00000188916.4	FAM196A
ENSG00000186766.7	FOXI2
ENSG00000170430.9	MGMT
ENSG00000108010.7	GLRX3
ENSG00000175470.14	PPP2R2D
ENSG00000151640.8	DPYSL4
ENSG00000165752.12	STK32C
ENSG00000148814.13	LRRC27
ENSG00000148826.6	NKX6-2
ENSG00000171798.13	KNDC1
ENSG00000151650.7	VENTX
ENSG00000130640.9	TUBGCP2
ENSG00000148832.10	PAOX
ENSG00000148824.14	MTG1
ENSG00000203772.6	SPRN
ENSG00000177963.8	RIC8A
ENSG00000142082.10	SIRT3
ENSG00000185627.13	PSMD13
ENSG00000174885.8	NLRP6
ENSG00000142102.11	ATHL1
